timestamp,timestamp_sample,vel_body[0],vel_body[1],vel_ne[0],vel_ne[1],flow_uncompensated_integral[0],flow_uncompensated_integral[1],flow_compensated_integral[0],flow_compensated_integral[1],gyro_rate_integral[0],gyro_rate_integral[1],gyro_rate_integral[2]
11191842,11189849,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,5.144595e-06,-2.46681e-06,-5.015342e-05
11207630,11205918,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,5.144595e-06,-2.46681e-06,-5.015342e-05
11223819,11222649,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,3.2341286e-06,-1.1370931e-05,-5.639807e-05
11239359,11238584,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,3.2341286e-06,-1.1370931e-05,-5.639807e-05
11259180,11257397,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,0.0,0.0,9.893685e-07,-1.6641118e-06,-4.100649e-05
11270934,11270293,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,0.0,0.0,9.893685e-07,-1.6641118e-06,-4.100649e-05
11287041,11286192,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4.893038e-06,-3.6121783e-06,-5.1588555e-05
11307003,11303029,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.328051e-06,-1.9146528e-06,-1.9851115e-05
11322359,11318757,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.328051e-06,-1.9146528e-06,-1.9851115e-05
11338143,11335403,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.328051e-06,-1.9146528e-06,-1.9851115e-05
11361859,11359192,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,0.0,0.0,-1.0546447e-06,7.65388e-07,-4.0833664e-05
11381629,11378116,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,-1.6656018e-05,0.0020030031,1.6655844e-05,-3.0031547e-06,-9.271205e-05
11393939,11390958,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.6012644e-06,4.7641643e-06,-3.533632e-05
11409305,11406850,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.6012644e-06,4.7641643e-06,-3.533632e-05
11425501,11422753,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.5880175e-06,-4.9696923e-06,-1.9683706e-05
11440982,11438633,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.5880175e-06,-4.9696923e-06,-1.9683706e-05
11460726,11457513,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.5880175e-06,-4.9696923e-06,-1.9683706e-05
11472668,11470416,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-5.2037913e-06,-1.9616425e-06,-7.294727e-05
