timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
276011137,-0.000657138,0.0060412884,0.009058415,0.0
276026952,-0.0004777957,0.0059390864,0.009049975,0.0
276050712,-0.00030608143,0.005801845,0.009059417,0.0
276070452,-0.00017309953,0.00570143,0.0090540275,0.0
276090240,-5.6627287e-06,0.005564825,0.00904434,0.0
276110000,0.0001977099,0.0054737646,0.00905717,0.0
276129798,0.00023745367,0.0053691547,0.00903514,0.0
276149566,0.00036356386,0.0052934187,0.009038611,0.0
276169326,0.00043599145,0.005262958,0.009035923,0.0
276189111,0.00031221757,0.0051980424,0.008992076,0.0
276212829,8.536815e-05,0.0050696484,0.009006816,0.0
276228626,-9.253607e-05,0.005021703,0.008990119,0.0
276248396,-0.00024702933,0.0049320743,0.0089907115,0.0
276272131,-0.00042303908,0.004803314,0.009003621,0.0
276291917,-0.00042921276,0.004750341,0.008985207,0.0
276307720,-0.00051491626,0.0046855067,0.009018483,0.0
276331468,-0.00047783082,0.004636833,0.009024559,0.0
276351249,-0.0004335694,0.004656633,0.009045038,0.0
276367058,-0.0004527594,0.004656056,0.009086677,0.0
276390793,-0.0005039412,0.0046944194,0.009077102,0.0
276410533,-0.00064290466,0.0046584434,0.0091386605,0.0
276430336,-0.00084979984,0.004693127,0.009146269,0.0
276450095,-0.0010547594,0.0047391513,0.009172897,0.0
276469839,-0.001248998,0.00473392,0.009211264,0.0
276489609,-0.0013662638,0.0047935536,0.009208603,0.0
276509380,-0.001557249,0.0048382184,0.0092571555,0.0
276529159,-0.0015885808,0.0049089324,0.009247145,0.0
276548928,-0.0015627883,0.005024978,0.009248789,0.0
276572663,-0.0015983814,0.0050898497,0.009285833,0.0
276588477,-0.0015979509,0.0051956265,0.009240432,0.0
276608252,-0.0015989054,0.0052983076,0.009265392,0.0
276631996,-0.0015365533,0.005359059,0.0092460755,0.0
276647787,-0.0014561532,0.005397328,0.009233133,0.0
276667555,-0.0012469195,0.0053551383,0.009246733,0.0
276691295,-0.000991356,0.0052648154,0.009200956,0.0
276711054,-0.0007344455,0.0052043935,0.009212121,0.0
276730868,-0.00043554738,0.005130929,0.009175277,0.0
276750678,-0.00022579171,0.005055099,0.009158931,0.0
276770375,-7.6713004e-05,0.005044772,0.009151528,0.0
276790186,7.203339e-05,0.005030684,0.0091040265,0.0
276809916,0.00013933681,0.005000366,0.009115898,0.0
276829682,0.00016348995,0.004987029,0.009083084,0.0
276853418,0.00021891529,0.0049270634,0.009070406,0.0
276869244,0.00016382533,0.004825922,0.009080023,0.0
276888997,0.00016353626,0.0047209966,0.009031635,0.0
276912732,7.6367105e-05,0.0045279497,0.009047966,0.0
276928553,-1.5772404e-05,0.004393324,0.009040225,0.0
276948342,-0.00012940109,0.004246731,0.009019327,0.0
276972058,-0.00029956392,0.003984033,0.009068199,0.0
276991835,-0.00041161157,0.003869508,0.009045465,0.0
277007631,-0.00043941964,0.003787936,0.009064523,0.0
277031389,-0.0005125394,0.003735496,0.009092275,0.0
277051125,-0.0006283515,0.0037965046,0.00908123,0.0
277066946,-0.0006549417,0.0038153592,0.00912396,0.0
277090688,-0.0008163559,0.003923098,0.00910627,0.0
277110449,-0.00093242456,0.0040067504,0.009139223,0.0
277130261,-0.0010182691,0.0040316507,0.009143428,0.0
277149985,-0.0010097073,0.0040785004,0.009126169,0.0
277169759,-0.00091180095,0.004100614,0.009141747,0.0
277189532,-0.0008339913,0.004146006,0.009100743,0.0
277209329,-0.0007613192,0.004227602,0.009097847,0.0
277229081,-0.0006224421,0.0042941263,0.009084108,0.0
277248841,-0.00054527004,0.0043527535,0.00905449,0.0
277272571,-0.00036025306,0.004405513,0.009057593,0.0
277288388,-0.00019266715,0.004415795,0.009034149,0.0
277308164,-7.1544e-05,0.004417844,0.009042581,0.0
277331918,0.00011344039,0.0044098115,0.009022287,0.0
277347701,0.00016288258,0.0043668947,0.009024388,0.0
277367472,0.00025980338,0.004319662,0.009046286,0.0
277391214,0.00022431025,0.00424719,0.0090351105,0.0
277410969,0.00021115954,0.0041816053,0.009067773,0.0
277430841,0.00012116712,0.0041634156,0.0090254545,0.0
277450546,5.20391e-06,0.0040670033,0.0090325,0.0
277470284,3.259471e-05,0.003962139,0.009046627,0.0
277490087,5.1213383e-06,0.0039254026,0.009027119,0.0
277509846,6.2125684e-05,0.0038945277,0.009065595,0.0
277529599,0.00014181368,0.0039416016,0.009053676,0.0
277549381,0.00011674923,0.004013876,0.009064196,0.0
277569176,0.00011557342,0.0040964214,0.009095175,0.0
277588923,2.691381e-05,0.004267169,0.009063486,0.0
277612654,-0.00016641525,0.004413657,0.009085271,0.0
277628457,-0.00032460399,0.004505992,0.009067708,0.0
277648251,-0.000509014,0.004664055,0.009038598,0.0
277671977,-0.0007038214,0.004773203,0.0090497695,0.0
277691740,-0.0008487108,0.004884125,0.009004156,0.0
277707550,-0.0009354976,0.0049728504,0.008990958,0.0
277731299,-0.0009901917,0.005012924,0.008984411,0.0
277751047,-0.001088829,0.0050222413,0.008938948,0.0
277766892,-0.0011534252,0.0049873376,0.00894275,0.0
277790598,-0.0012819194,0.004946572,0.008912413,0.0
277810355,-0.0013865796,0.00492435,0.0088975895,0.0
277830135,-0.0015460622,0.0048841196,0.0088920025,0.0
277849986,-0.0016004457,0.0049048425,0.008861183,0.0
277869672,-0.0016323822,0.0049610175,0.008858653,0.0
277889461,-0.0016406027,0.0049925623,0.008854621,0.0
277909232,-0.0015383083,0.005071043,0.008844086,0.0
277928991,-0.0014743145,0.0051564346,0.008858566,0.0
277948803,-0.0014254869,0.005196019,0.008856011,0.0
277972490,-0.0012897531,0.005249247,0.008861285,0.0
277988307,-0.0011751845,0.005234626,0.008877689,0.0
278008080,-0.0012526648,0.0051964843,0.008871447,0.0
278031854,-0.0012961699,0.005083091,0.008901021,0.0
278047678,-0.0013788246,0.004978085,0.008913288,0.0
278071351,-0.0015113998,0.0048436937,0.008914721,0.0
278091114,-0.0016046236,0.004615506,0.008955175,0.0
278110885,-0.0017278113,0.0044361535,0.008948639,0.0
278130694,-0.0018078064,0.004311857,0.008970276,0.0
278150429,-0.0019477783,0.0041153086,0.008992021,0.0
278170208,-0.002036616,0.0040226234,0.00898069,0.0
278189985,-0.002178714,0.003937323,0.009005558,0.0
278209788,-0.0023493082,0.0038620806,0.008993159,0.0
278229513,-0.002489525,0.0038661165,0.008985932,0.0
278253257,-0.0025897508,0.0039337003,0.0090002,0.0
278269071,-0.002524046,0.003961274,0.008965246,0.0
278288833,-0.0024417609,0.003931841,0.008969805,0.0
278312563,-0.0021728475,0.0038547108,0.008930193,0.0
278328382,-0.0019756546,0.0038187213,0.008903087,0.0
278348158,-0.0017025233,0.0037534202,0.008905037,0.0
278371871,-0.0015468084,0.0037696923,0.008848037,0.0
278391668,-0.0015434208,0.0038492633,0.008834505,0.0
278407517,-0.001416185,0.003863079,0.008842685,0.0
278431303,-0.0014521005,0.0040005026,0.008818124,0.0
278450961,-0.0013897619,0.0042178864,0.008837106,0.0
278466825,-0.0012821011,0.004297934,0.008830788,0.0
278490522,-0.0010494814,0.0044598426,0.008833187,0.0
278510281,-0.0007892035,0.0046638143,0.00884567,0.0
278530047,-0.00055503653,0.0048730457,0.008837745,0.0
278549820,-0.00019351696,0.0051061953,0.008852849,0.0
278569590,1.7436738e-05,0.005244458,0.008861441,0.0
278589361,0.00020523297,0.0053306534,0.008860755,0.0
278609133,0.0002415299,0.005373304,0.008873715,0.0
278628904,0.00027312193,0.005393646,0.008877022,0.0
278648692,0.00030331907,0.005420876,0.008896447,0.0
278672409,0.00028733845,0.0054318323,0.0089031225,0.0
278688260,0.00028637485,0.0054711145,0.008911381,0.0
278707991,0.00040863434,0.0055575557,0.00892693,0.0
278731762,0.0004525987,0.0056232736,0.008922989,0.0
278747532,0.00048684693,0.0056613158,0.008938837,0.0
278771268,0.00057311484,0.0056727384,0.00892894,0.0
278791048,0.00063594617,0.0056188814,0.008925488,0.0
278810830,0.0007114362,0.005576036,0.008931602,0.0
278830609,0.0007232972,0.0055200555,0.008917461,0.0
278850388,0.0008108322,0.005411858,0.008908741,0.0
278870146,0.00087045424,0.0052669346,0.008895075,0.0
278889913,0.00092050416,0.005125259,0.008863209,0.0
278909667,0.0010920122,0.0049374946,0.008855602,0.0
278929452,0.0011797813,0.004674891,0.008813895,0.0
278953163,0.0012661148,0.004391985,0.008803674,0.0
278968975,0.0012732625,0.0042521413,0.008789857,0.0
278988749,0.0012317816,0.0040215906,0.008759785,0.0
279012477,0.0010954642,0.0037648194,0.0087772375,0.0
279028295,0.0009942328,0.0036580325,0.008742891,0.0
279048069,0.0009840732,0.003515129,0.008760146,0.0
279071789,0.0009207494,0.0034845553,0.008751856,0.0
279091582,0.00090440054,0.0035228427,0.00873041,0.0
279107376,0.00080074585,0.0035320083,0.008768352,0.0
279131135,0.0007199925,0.0036970421,0.008745782,0.0
279150886,0.0006812818,0.0038331614,0.008754836,0.0
279166748,0.00060517184,0.0039328886,0.00877218,0.0
279190429,0.0004814951,0.0041278554,0.008714936,0.0
279210205,0.00032179986,0.004251289,0.008737953,0.0
279229975,0.00015843677,0.004406123,0.008696385,0.0
279249744,2.8030214e-05,0.004410735,0.008672024,0.0
279269514,-6.574014e-05,0.0043968754,0.008668293,0.0
279289290,-0.00012791438,0.0044645504,0.0086175995,0.0
279309090,-0.00016580378,0.004495236,0.008598735,0.0
279328825,-0.00014327181,0.0045612804,0.008573117,0.0
279348588,-0.00029354065,0.0046713897,0.008528699,0.0
279372321,-0.00033817085,0.0047568837,0.008520597,0.0
279388140,-0.00034307313,0.004798386,0.008488554,0.0
279411867,-0.00046013622,0.0048437263,0.008471654,0.0
279431703,-0.00049590843,0.0048451354,0.008461752,0.0
279447460,-0.00054030743,0.004853012,0.0084209265,0.0
279471190,-0.0005833981,0.004828009,0.008423629,0.0
279490959,-0.00061527913,0.0047941585,0.0083995005,0.0
279510722,-0.00060008396,0.0047475956,0.008390916,0.0
279530534,-0.00061918655,0.004628358,0.008402496,0.0
279550304,-0.0006010565,0.0045767203,0.008385158,0.0
279570076,-0.00049943174,0.0045645493,0.008415412,0.0
279589840,-0.00048636363,0.00451037,0.008411417,0.0
279609577,-0.0003588973,0.004561333,0.008405301,0.0
279629388,-0.00026614428,0.004552552,0.008436068,0.0
279653076,-0.00019470096,0.004468911,0.00842679,0.0
279668894,-0.000103037695,0.004396567,0.008448289,0.0
279688667,-0.0001937051,0.0042865616,0.008469584,0.0
279712398,-0.0002146425,0.004161672,0.008463751,0.0
279728212,-0.00018587781,0.0040524947,0.00850007,0.0
279747979,-0.0003300157,0.0039369296,0.008496708,0.0
279771704,-0.0003793559,0.0038837455,0.0085010035,0.0
279791506,-0.00052457565,0.0038213397,0.008523544,0.0
279807302,-0.0005799845,0.0038613891,0.008505609,0.0
