timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
203904797,4.6986327,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
204405724,4.688965,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
204904758,4.705078,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
205404758,4.679297,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
205905177,4.6873536,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
206404758,4.6245117,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
206905456,4.676074,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
207404759,4.676074,3.2919433,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
207904756,4.666406,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
208404759,4.709912,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
208904756,4.7228026,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
209405097,4.709912,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
209904757,4.4440427,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
210405283,4.6954103,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
210904770,4.726025,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
211404756,4.7083006,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
211904757,4.690576,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
212404766,4.6454587,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
212904767,4.7356935,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
