timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
274177096,0.006158293,0.011969881,0.33946136,-1.2186749e-14,0.9856111,0.002023894,0.0064189853,0.1688949,0.0,0.0,-0.14208908,0,0,0,0,0
274184865,0.0054105567,0.011917777,0.33946133,-1.2186749e-14,0.9856119,0.0016598064,0.0063301637,0.16889739,0.0,0.0,-0.14115278,0,0,0,0,0
274196813,0.0048808446,0.011540326,0.33946136,-9.778147e-15,0.98561335,0.0014306421,0.00609942,0.1688997,0.0,0.0,-0.14149976,0,0,0,0,0
274204759,0.0045921043,0.012055377,0.33946133,-9.778147e-15,0.98561215,0.0012448458,0.0063288547,0.16889974,0.0,0.0,-0.14218676,0,0,0,0,0
274216632,0.0048098215,0.01217263,0.33946133,-7.8362304e-15,0.9856117,0.0013422347,0.0064050243,0.16889884,0.0,0.0,-0.14215133,0,0,0,0,0
274224480,0.0039891726,0.011726532,0.33946136,-7.8362304e-15,0.98561335,0.00097549264,0.0061158813,0.16890214,0.0,0.0,-0.14284042,0,0,0,0,0
274236335,0.0034211867,0.012098334,0.33946133,-6.287154e-15,0.98561263,0.00066418236,0.0062511396,0.16890337,0.0,0.0,-0.1390308,0,0,0,0,0
274244225,0.0049522053,0.0121252425,0.33946136,-6.287154e-15,0.9856117,0.0014164048,0.0063936957,0.1688985,0.0,0.0,-0.13930078,0,0,0,0,0
274256365,0.0045351647,0.012062096,0.33946136,-5.028014e-15,0.98561215,0.0012162181,0.006327358,0.16889992,0.0,0.0,-0.13967642,0,0,0,0,0
274264246,0.004318059,0.012551863,0.33946136,-5.028014e-15,0.9856109,0.0010678599,0.006550382,0.16889983,0.0,0.0,-0.1384416,0,0,0,0,0
274276001,0.0045529655,0.012343663,0.33946133,-4.0373495e-15,0.9856113,0.0012012087,0.006467618,0.16889937,0.0,0.0,-0.13872755,0,0,0,0,0
274283785,0.0015815967,0.012246194,0.33946133,-4.0373495e-15,0.98561233,-0.0002548676,0.0061686467,0.1689089,0.0,0.0,-0.13978252,0,0,0,0,0
274295721,0.0015423724,0.01287279,0.33946136,-3.2400535e-15,0.9856104,-0.00032711923,0.006474124,0.16890848,0.0,0.0,-0.1397047,0,0,0,0,0
274303621,0.0037164723,0.012620738,0.33946136,-3.2400535e-15,0.98561096,0.0007655773,0.0065335194,0.1689017,0.0,0.0,-0.14119549,0,0,0,0,0
274315432,0.0029081842,0.01248261,0.33946133,-2.5985393e-15,0.9856116,0.00037891502,0.0063971886,0.16890448,0.0,0.0,-0.14116341,0,0,0,0,0
274327212,0.0027855455,0.013092571,0.33946136,-2.5985393e-15,0.98560977,0.00026695992,0.0066874223,0.16890413,0.0,0.0,-0.14129554,0,0,0,0,0
274335257,0.0031111268,0.012862442,0.33946136,-2.0826844e-15,0.9856104,0.0004468449,0.0066015106,0.16890335,0.0,0.0,-0.14041364,0,0,0,0,0
274347029,0.002714384,0.013175545,0.33946133,-2.0826844e-15,0.98560953,0.00022488322,0.006722303,0.16890424,0.0,0.0,-0.1409296,0,0,0,0,0
274355142,0.001878911,0.013244083,0.33946133,-1.6679156e-15,0.98560935,-0.00019263054,0.00668552,0.16890699,0.0,0.0,-0.14127235,0,0,0,0,0
274366868,0.0016535075,0.013116,0.33946133,-1.6679156e-15,0.9856097,-0.00029289266,0.0066033644,0.16890787,0.0,0.0,-0.14178884,0,0,0,0,0
274374700,0.0022145433,0.0134205725,0.33946133,-1.3402429e-15,0.98560876,-4.213569e-05,0.00680084,0.16890566,0.0,0.0,-0.14197955,0,0,0,0,0
274386589,0.0022087626,0.013412642,0.33946133,-1.3402429e-15,0.9856088,-4.4314795e-05,0.006796444,0.1689057,0.0,0.0,-0.14217927,0,0,0,0,0
274394627,0.0009221149,0.013398364,0.33946136,-1.0733642e-15,0.98560864,-0.0006771743,0.0066807442,0.16891004,0.0,0.0,-0.14205784,0,0,0,0,0
274406399,0.0005470281,0.0140312575,0.33946136,-1.0733642e-15,0.9856064,-0.0009154714,0.006960959,0.16891086,0.0,0.0,-0.1422971,0,0,0,0,0
274414276,0.0015154087,0.0138269095,0.33946133,-8.614652e-16,0.9856073,-0.00042099124,0.006942041,0.16890764,0.0,0.0,-0.14350352,0,0,0,0,0
274426230,0.0010705388,0.013590591,0.33946136,-8.614652e-16,0.985608,-0.0006202658,0.006788011,0.1689094,0.0,0.0,-0.14382093,0,0,0,0,0
274434244,0.0013144659,0.014039827,0.33946136,-6.8960663e-16,0.9856066,-0.00053799927,0.007029996,0.16890816,0.0,0.0,-0.14296593,0,0,0,0,0
274445922,0.0014376573,0.014040487,0.33946136,-6.8960663e-16,0.9856066,-0.00047734586,0.0070407256,0.16890773,0.0,0.0,-0.14324513,0,0,0,0,0
274453995,0.0006466775,0.013916096,0.33946133,-5.528518e-16,0.9856068,-0.0008566373,0.0069126226,0.16891056,0.0,0.0,-0.14290395,0,0,0,0,0
274465744,0.00055554404,0.014503033,0.33946133,-5.528518e-16,0.9856047,-0.00095111935,0.00719417,0.16891046,0.0,0.0,-0.14314914,0,0,0,0,0
274473672,0.00058276707,0.014469044,0.33946133,-4.4371016e-16,0.9856049,-0.00093483325,0.00717972,0.1689104,0.0,0.0,-0.14360543,0,0,0,0,0
274485462,0.00010967209,0.01441021,0.33946133,-4.4371016e-16,0.9856048,-0.0011630065,0.00711077,0.16891211,0.0,0.0,-0.14365529,0,0,0,0,0
274493506,-0.0004561482,0.01451882,0.33946133,-3.5581498e-16,0.98560405,-0.0014510169,0.007116507,0.16891406,0.0,0.0,-0.1440819,0,0,0,0,0
274505459,-0.00077383977,0.014521786,0.33946136,-3.5581498e-16,0.98560375,-0.0016078264,0.007091137,0.1689152,0.0,0.0,-0.14396934,0,0,0,0,0
274517103,-0.0010553409,0.014833195,0.33946136,-2.7459892e-16,0.9856024,-0.0017728505,0.007220825,0.16891609,0.0,0.0,-0.14403024,0,0,0,0,0
274525265,0.00042612312,0.014848529,0.33946133,-2.7459892e-16,0.9856034,-0.001044078,0.007353502,0.16891068,0.0,0.0,-0.14440922,0,0,0,0,0
274536949,6.270721e-05,0.014546351,0.33946136,-2.2002458e-16,0.9856043,-0.0011976492,0.007173895,0.16891222,0.0,0.0,-0.14464551,0,0,0,0,0
274544696,-7.13795e-05,0.014890545,0.33946133,-2.2002458e-16,0.985603,-0.0012927962,0.007332189,0.16891247,0.0,0.0,-0.14327131,0,0,0,0,0
274556799,0.000101179794,0.015148336,0.3394613,-1.7629645e-16,0.9856021,-0.0012295309,0.007473803,0.16891165,0.0,0.0,-0.14343272,0,0,0,0,0
274564489,-0.0014273027,0.0150575545,0.33946133,-1.7629645e-16,0.9856012,-0.001975102,0.007299975,0.16891737,0.0,0.0,-0.14388336,0,0,0,0,0
274576480,-0.0012492781,0.01537097,0.33946133,-1.4146296e-16,0.9856002,-0.0019138398,0.0074694613,0.16891658,0.0,0.0,-0.14367531,0,0,0,0,0
274584252,-0.0016734613,0.015384931,0.33946133,-1.4146296e-16,0.9855997,-0.0021240562,0.0074405153,0.16891816,0.0,0.0,-0.14461334,0,0,0,0,0
274596246,-0.0019867555,0.0150733,0.33946136,-1.1344831e-16,0.9856006,-0.00225213,0.007260483,0.16891941,0.0,0.0,-0.14840546,0,0,0,0,0
274604150,-0.0015596601,0.015303685,0.33946136,-1.1344831e-16,0.9856002,-0.002061114,0.0074100886,0.16891778,0.0,0.0,-0.14826004,0,0,0,0,0
274615942,-0.0019755517,0.015434263,0.33946133,-9.103174e-17,0.98559916,-0.0022770928,0.007439312,0.16891931,0.0,0.0,-0.14832541,0,0,0,0,0
274623824,-0.00079951016,0.015539622,0.33946133,-9.103174e-17,0.98559994,-0.0017064374,0.00759056,0.16891482,0.0,0.0,-0.1479546,0,0,0,0,0
274635759,-0.0007749978,0.01590106,0.33946133,-7.295891e-17,0.9855986,-0.0017248831,0.007770747,0.1689146,0.0,0.0,-0.1477093,0,0,0,0,0
274643712,-0.0021855934,0.015674422,0.33946136,-7.295891e-17,0.985598,-0.002400883,0.007539922,0.16892004,0.0,0.0,-0.14682473,0,0,0,0,0
274655728,-0.002334493,0.015426629,0.33946136,-5.8385227e-17,0.9855988,-0.0024533342,0.0074052336,0.16892062,0.0,0.0,-0.14668068,0,0,0,0,0
274663336,-0.0033844146,0.015772957,0.3394613,-5.8385227e-17,0.985596,-0.0029999814,0.0074872267,0.16892453,0.0,0.0,-0.14725561,0,0,0,0,0
274675244,-0.0029559762,0.015730513,0.33946133,-4.6938652e-17,0.9855968,-0.0027852643,0.007502498,0.16892296,0.0,0.0,-0.14677116,0,0,0,0,0
