timestamp,timestamp_sample,device_id,error_count,pressure,temperature
43908232,43907307,6780449,0,990.7836,47.93
43994829,43993906,6780449,0,990.77124,47.92
44124750,44123812,6780449,0,990.81464,47.93
44211579,44210656,6780449,0,990.79816,47.94
44297958,44297006,6780449,0,990.78625,47.93
44427831,44426907,6780449,0,990.7986,47.93
44514430,44513506,6780449,0,990.81616,47.94
44601044,44600119,6780449,0,990.8079,47.94
44730937,44730012,6780449,0,990.8266,47.94
44817533,44816607,6780449,0,990.79706,47.94
44904148,44903222,6780449,0,990.7829,47.93
44990793,44989867,6780449,0,990.79816,47.94
45120641,45119706,6780449,0,990.8282,47.94
45207312,45206307,6780449,0,990.8132,47.94
45293837,45292907,6780449,0,990.8132,47.94
45423734,45422811,6780449,0,990.80414,47.95
45510363,45509439,6780449,0,990.78925,47.94
45596934,45596011,6780449,0,990.77124,47.94
45726832,45725908,6780449,0,990.79706,47.94
45813429,45812506,6780449,0,990.80115,47.95
45900036,45899108,6780449,0,990.79443,47.94
46029930,46029006,6780449,0,990.76483,47.95
46116529,46115605,6780449,0,990.763,47.94
46203143,46202220,6780449,0,990.76483,47.95
46289735,46288811,6780449,0,990.7986,47.95
46419638,46418712,6780449,0,990.7794,47.95
46506232,46505310,6780449,0,990.78503,47.95
46592836,46591907,6780449,0,990.79254,47.95
46722964,46722033,6780449,0,990.788,47.95
46809329,46808405,6780449,0,990.77875,47.96
46896063,46895006,6780449,0,990.7869,47.95
47025836,47024908,6780449,0,990.7821,47.95
47112429,47111506,6780449,0,990.8203,47.96
47199050,47198122,6780449,0,990.7765,47.95
47328934,47328010,6780449,0,990.79584,47.96
47415536,47414609,6780449,0,990.80975,47.96
47502231,47501304,6780449,0,990.7765,47.95
47588732,47587807,6780449,0,990.76483,47.96
47718659,47717707,6780449,0,990.78656,47.96
47805232,47804307,6780449,0,990.7883,47.96
47891845,47890921,6780449,0,990.77875,47.96
48021737,48020814,6780449,0,990.76263,47.96
48108361,48107423,6780449,0,990.75653,47.96
48194933,48194006,6780449,0,990.7805,47.96
48324845,48323906,6780449,0,990.76636,47.969997
48411684,48410760,6780449,0,990.79694,47.969997
48498053,48497129,6780449,0,990.7944,47.969997
48627930,48627006,6780449,0,990.76105,47.969997
48714531,48713606,6780449,0,990.8,47.969997
48801149,48800219,6780449,0,990.76074,47.969997
48931036,48930107,6780449,0,990.7682,47.969997
49017632,49016707,6780449,0,990.77045,47.969997
49104234,49103309,6780449,0,990.7626,47.969997
49190850,49189916,6780449,0,990.7898,47.98
49320731,49319806,6780449,0,990.7805,47.98
49407401,49406406,6780449,0,990.77527,47.98
49493974,49493006,6780449,0,990.7894,47.989998
49623838,49622910,6780449,0,990.7589,47.98
49710429,49709505,6780449,0,990.80786,47.989998
49797037,49796113,6780449,0,990.7922,47.989998
49926945,49926021,6780449,0,990.7835,47.989998
50013528,50012605,6780449,0,990.7589,47.98
50100144,50099218,6780449,0,990.79474,47.989998
50230083,50229109,6780449,0,990.77606,47.989998
50316635,50315707,6780449,0,990.77606,47.989998
50403238,50402308,6780449,0,990.7415,47.989998
50489832,50488909,6780449,0,990.76514,47.989998
50619731,50618807,6780449,0,990.74194,47.989998
50706332,50705408,6780449,0,990.7925,48.0
50792935,50792007,6780449,0,990.76965,47.989998
50923054,50922131,6780449,0,990.78534,47.989998
51009429,51008505,6780449,0,990.74347,47.989998
51096204,51095106,6780449,0,990.7894,48.0
51225933,51225009,6780449,0,990.7479,48.0
51312536,51311613,6780449,0,990.7715,48.0
51399206,51398220,6780449,0,990.76886,48.0
51529036,51528113,6780449,0,990.7733,48.0
51615632,51614706,6780449,0,990.78644,48.0
51702240,51701308,6780449,0,990.75836,48.0
51788834,51787908,6780449,0,990.7685,48.0
51918764,51917807,6780449,0,990.7779,48.01
52005342,52004405,6780449,0,990.7648,48.01
52091950,52091010,6780449,0,990.7603,48.0
52221835,52220908,6780449,0,990.76996,48.01
52308429,52307505,6780449,0,990.76215,48.01
52395040,52394107,6780449,0,990.74115,48.01
52524943,52524008,6780449,0,990.74866,48.01
52611782,52610848,6780449,0,990.77966,48.01
52698139,52697216,6780449,0,990.761,48.01
52828030,52827106,6780449,0,990.76624,48.01
52914630,52913706,6780449,0,990.77856,48.02
53001242,53000309,6780449,0,990.75793,48.02
53131151,53130224,6780449,0,990.76355,48.01
53217731,53216807,6780449,0,990.7628,48.02
53304333,53303409,6780449,0,990.755,48.02
53390930,53390005,6780449,0,990.77997,48.03
53520832,53519908,6780449,0,990.7718,48.03
53607475,53606506,6780449,0,990.7565,48.03
53694058,53693106,6780449,0,990.75116,48.03
53823939,53823011,6780449,0,990.72833,48.02
53910536,53909613,6780449,0,990.7822,48.03
53997139,53996217,6780449,0,990.7643,48.03
54127041,54126113,6780449,0,990.744,48.02
54213634,54212706,6780449,0,990.7422,48.03
54300509,54299308,6780449,0,990.764,48.03
54430148,54429219,6780449,0,990.7422,48.03
54516729,54515806,6780449,0,990.74927,48.039997
54603336,54602409,6780449,0,990.71906,48.03
54689932,54689010,6780449,0,990.74146,48.039997
54819830,54818908,6780449,0,990.746,48.039997
54906440,54905508,6780449,0,990.7621,48.039997
54993038,54992112,6780449,0,990.7568,48.039997
55123187,55122259,6780449,0,990.7314,48.03
55209528,55208605,6780449,0,990.74445,48.03
55296221,55295216,6780449,0,990.7564,48.039997
55426134,55425110,6780449,0,990.72974,48.039997
55512635,55511710,6780449,0,990.7616,48.039997
55599238,55598311,6780449,0,990.7537,48.039997
55729160,55728232,6780449,0,990.7919,48.05
55815730,55814806,6780449,0,990.7557,48.039997
55902350,55901421,6780449,0,990.7575,48.05
55988928,55988007,6780449,0,990.74066,48.039997
56118843,56117913,6780449,0,990.7553,48.05
56205428,56204505,6780449,0,990.746,48.039997
56292029,56291106,6780449,0,990.7478,48.039997
56421983,56421008,6780449,0,990.7557,48.039997
56508530,56507607,6780449,0,990.7478,48.039997
56595160,56594230,6780449,0,990.7705,48.05
56725041,56724118,6780449,0,990.77136,48.039997
56811849,56810923,6780449,0,990.7497,48.05
56898229,56897306,6780449,0,990.74396,48.05
57028158,57027230,6780449,0,990.7564,48.059998
57114743,57113806,6780449,0,990.7571,48.05
57201351,57200428,6780449,0,990.7732,48.05
57331247,57330306,6780449,0,990.7601,48.05
57417832,57416907,6780449,0,990.7623,48.05
57504434,57503510,6780449,0,990.7953,48.059998
57591054,57590107,6780449,0,990.7716,48.059998
57720929,57720006,6780449,0,990.7433,48.059998
57807563,57806606,6780449,0,990.7641,48.059998
57894191,57893257,6780449,0,990.74365,48.05
58024034,58023109,6780449,0,990.77124,48.059998
58110633,58109708,6780449,0,990.74365,48.05
58197229,58196306,6780449,0,990.80005,48.059998
58327149,58326222,6780449,0,990.759,48.059998
