timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
245946502,inf,0,0,0,0,1,0,0,0,0,1
246946975,inf,0,0,0,0,1,0,0,0,0,1
247955321,inf,0,0,0,0,1,0,0,0,0,1
248956486,inf,0,0,0,0,1,0,0,0,0,0
249957023,inf,0,0,0,0,1,0,0,1,0,0
250964526,inf,0,0,0,0,1,0,0,0,0,0
251965449,inf,0,0,0,0,1,0,0,0,0,0
252965578,inf,0,0,0,0,1,0,0,0,0,0
253966132,inf,0,0,0,0,1,0,0,0,0,0
254966620,inf,0,0,0,0,1,0,0,0,0,0
255967125,inf,0,0,0,0,1,0,0,0,0,0
256975476,inf,0,0,0,0,1,0,0,0,0,0
257976025,inf,0,0,0,0,1,0,0,0,0,0
258976543,inf,0,0,0,0,1,0,0,0,0,0
259976954,inf,0,0,0,0,1,0,0,0,0,0
260977393,inf,0,0,0,0,1,0,0,0,0,0
261985785,inf,0,0,0,0,1,0,0,0,0,0
262986150,inf,0,0,0,0,1,0,0,0,0,0
263986691,inf,0,0,0,0,1,0,0,0,0,0
264987186,inf,0,0,0,0,1,0,0,0,0,0
265995608,inf,0,0,0,0,1,0,0,0,0,0
266995983,inf,0,0,0,0,1,0,0,0,0,0
267996525,inf,0,0,0,0,1,0,0,0,0,0
268996904,inf,0,0,0,0,1,0,0,0,0,0
269997915,inf,0,0,0,0,1,0,0,0,0,0
271005717,inf,0,0,0,0,1,0,0,0,0,0
272007441,inf,0,0,0,0,1,0,0,0,0,0
273007882,inf,0,0,0,0,1,0,0,0,0,0
274015028,inf,0,0,0,0,1,0,0,0,0,0
275015423,inf,0,0,0,0,1,0,0,0,0,0
276015804,inf,0,0,0,0,1,0,0,0,0,0
277016335,inf,0,0,0,0,1,0,0,0,0,0
278016781,inf,0,0,0,0,1,0,0,0,0,0
279017225,inf,0,0,0,0,1,0,0,0,0,0
280025629,inf,0,0,0,0,1,0,0,0,0,0
281025987,inf,0,0,0,0,1,0,0,0,0,0
282026447,inf,0,0,0,0,1,0,0,0,0,0
283026839,inf,0,0,0,0,1,0,0,0,0,0
284027291,inf,0,0,0,0,1,0,0,0,0,0
285035668,inf,0,0,0,0,1,0,0,0,0,0
286036184,inf,0,0,0,0,1,0,0,0,0,0
287036541,inf,0,0,0,0,1,0,0,0,0,0
288037017,inf,0,0,0,0,1,0,0,0,0,0
289037312,inf,0,0,0,0,1,0,0,0,0,0
290045623,inf,0,0,0,0,1,0,0,0,0,0
291046053,inf,0,0,0,0,1,0,0,0,0,0
292046493,inf,0,0,0,0,1,0,0,0,0,0
293046940,inf,0,0,0,0,1,0,0,0,0,0
294047415,inf,0,0,0,0,1,0,0,0,0,0
295055697,inf,0,0,0,0,1,0,0,0,0,0
296056133,inf,0,0,0,0,1,0,0,0,0,0
297056615,inf,0,0,0,0,1,0,0,0,0,0
298057183,inf,0,0,0,0,1,0,0,0,0,0
299057511,inf,0,0,0,0,1,0,0,0,0,0
300065697,inf,0,0,0,0,1,0,0,0,0,0
301065914,inf,0,0,0,0,1,0,0,0,0,0
302066384,inf,0,0,0,0,1,0,0,0,0,0
303066881,inf,0,0,0,0,1,0,0,0,0,0
304067278,inf,0,0,0,0,1,0,0,1,0,0
305075463,inf,0,0,0,0,1,1,0,1,0,0
306075945,inf,0,0,0,0,1,0,0,1,0,0
307076282,inf,0,0,0,0,1,0,0,1,0,1
307985836,inf,0,0,0,0,0,0,1,0,0,1
308325852,inf,0,1,1,1,0,0,1,0,0,1
