timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
22629026,22628299,0.18356626,-0.03729733,-9.742335
22680391,22679712,0.12670992,-0.039740853,-9.760405
22731799,22731125,0.13488056,-0.038775336,-9.792643
22779259,22778583,0.14521852,-0.035921894,-9.80826
22826739,22826046,0.15678471,-0.06508231,-9.750276
22882149,22881409,0.14953978,-0.0095169125,-9.762958
22929551,22928867,0.096772455,-0.046327423,-9.817826
22980967,22980280,0.14264525,-0.0404779,-9.844502
23032399,23031693,0.15525262,-0.008138376,-9.805963
23079841,23079151,0.13675357,-0.046639293,-9.802588
23131262,23130568,0.11174526,-0.017507246,-9.8346405
23178735,23178023,0.12330654,-0.05652549,-9.850621
23230104,23229436,0.1528017,-0.0028343492,-9.825664
23281545,23280849,0.13815683,-0.04510986,-9.788329
23328983,23328307,0.09070023,-0.03696491,-9.815824
23380410,23379720,0.20190287,-0.02341454,-9.870456
23431806,23431133,0.11448022,-0.00939949,-9.836417
23479327,23478591,0.07653277,-0.08430986,-9.814518
23526758,23526049,0.14852984,-0.0045398455,-9.795627
23582096,23581417,0.20334762,-0.02186519,-9.803661
23629545,23628875,0.07494582,-0.072094925,-9.847307
23680982,23680288,0.09222165,-0.010843595,-9.8041725
23732378,23731702,0.21961036,-0.028616434,-9.76336
23779829,23779160,0.13118401,-0.070221335,-9.738054
23831330,23830573,0.13260283,-0.01111807,-9.76225
23878745,23878031,0.13686492,-0.031440724,-9.813439
23930122,23929444,0.13104324,-0.041980397,-9.819205
23981534,23980858,0.14648198,-0.049350973,-9.805076
24028985,24028315,0.15109858,-0.015075013,-9.79857
24080427,24079734,0.11093277,-0.043967806,-9.791704
24131839,24131142,0.13687736,-0.04255598,-9.787951
24179296,24178600,0.18290965,-0.014882201,-9.830235
24226758,24226058,0.09030057,-0.04564128,-9.833189
24282123,24281426,0.15204127,-0.039906852,-9.804784
24329556,24328884,0.14102815,-0.009834508,-9.784103
24381010,24380297,0.13547933,-0.049725965,-9.759937
24432396,24431718,0.1365424,-0.04036958,-9.796493
24479903,24479168,0.14846887,-0.008593605,-9.817498
24531261,24530582,0.12800995,-0.06318898,-9.764548
24578750,24578040,0.15925491,-0.027974734,-9.796863
24630126,24629453,0.14137186,-0.03594407,-9.806559
24681587,24680866,0.11332893,-0.053994294,-9.7820215
24729022,24728325,0.17668056,-0.022290856,-9.796724
24780416,24779737,0.10506754,-0.031547427,-9.802399
24831827,24831150,0.1386632,-0.06517319,-9.814482
24879281,24878608,0.17268863,0.0046690647,-9.794174
24926869,24926068,0.102986,-0.051727384,-9.777634
24982107,24981435,0.14411522,-0.03288742,-9.766313
25029612,25028893,0.16363178,-0.03698385,-9.809252
25080995,25080306,0.13693397,-0.0073663257,-9.815192
25132477,25131720,0.10429861,-0.065761216,-9.790964
25179859,25179177,0.15436238,-0.045974497,-9.799907
25231284,25230590,0.13882579,0.008120644,-9.786928
25278822,25278049,0.14339817,-0.09339802,-9.796603
25330128,25329462,0.12165445,0.00030054542,-9.851543
25381550,25380875,0.10584664,-0.021674156,-9.853591
25429012,25428333,0.25292662,0.0077765086,-9.779578
25480476,25479746,-0.029797647,-0.1589922,-9.719171
25531834,25531159,0.2679055,-0.021452408,-9.731067
25579375,25578617,0.025888145,0.10088287,-9.798183
25626794,25626076,0.2360209,-0.14055382,-9.838905
25682122,25681444,0.194212,0.039660633,-9.865321
25729572,25728902,0.09790974,0.00077364605,-9.779809
25780990,25780315,0.186877,-0.17156497,-9.729182
25832474,25831728,0.08167558,0.06309005,-9.726842
25879863,25879186,0.2088486,-0.052083693,-9.736121
25931316,25930600,0.08326442,-0.07480992,-9.785985
25978769,25978058,0.08670178,-0.08159834,-9.824157
26030145,26029471,0.28073135,0.03838496,-9.73634
26081554,26080885,0.13261728,-0.1053862,-9.693722
26129033,26128342,0.07860538,-0.010566744,-9.814873
26180426,26179755,0.15260759,-0.0009152264,-9.814817
26231847,26231169,0.15138753,-0.08943343,-9.786772
26279359,26278627,0.17073466,-0.0182282,-9.744925
26326813,26326085,0.124134324,0.01080156,-9.80962
26382123,26381453,0.10543441,-0.098468475,-9.824279
26429584,26428911,0.1414079,0.0014390504,-9.859586
26480999,26480324,0.15896073,-0.007829084,-9.858146
26532552,26531737,0.06907176,-0.097963,-9.833741
26579870,26579196,0.13012859,0.056900717,-9.921714
26631303,26630609,0.0687847,-0.020658256,-9.85712
26678780,26678067,0.1472396,-0.15726349,-9.684702
26730147,26729480,0.33838052,0.04071153,-9.725839
26781583,26780893,-0.16281928,-0.019399293,-9.710575
26829037,26828352,0.24726321,-0.17679828,-9.706371
26880433,26879765,0.25690466,0.13851148,-9.759237
26931852,26931178,-0.01529356,-0.014365279,-9.823245
26979345,26978636,0.16847104,-0.14522475,-9.821021
27026823,27026094,0.19997792,0.044859633,-9.842601
27082136,27081462,0.14067098,-0.04227458,-9.738208
27129599,27128921,0.24437778,-0.20159604,-9.736858
27181028,27180334,-0.0072292816,0.15871882,-9.812859
27232430,27231747,0.22859977,-0.10309994,-9.879888
27279883,27279209,0.12162952,-0.16341543,-9.763255
27331304,27330618,0.19402811,0.084400706,-9.72156
27378840,27378079,0.17028537,-0.060382906,-9.788271
27430176,27429490,0.053591993,-0.105257556,-9.830886
27481572,27480903,0.19074209,0.062397026,-9.826827
27529108,27528361,0.16072477,-0.09767185,-9.729509
27580506,27579774,0.12364668,-0.064988196,-9.830615
27631872,27631187,0.08468438,0.055853784,-9.845542
27679340,27678646,0.18291238,-0.17023048,-9.829977
27726897,27726104,0.1470855,0.056269187,-9.795833
27782141,27781472,0.11638392,-0.047796126,-9.7879925
27829621,27828930,0.10326184,-0.10419528,-9.774182
27881015,27880343,0.15814327,-0.09431756,-9.748287
27932441,27931757,0.17339867,0.14463374,-9.724531
27979887,27979215,0.11034397,-0.2022912,-9.824148
28031409,28030628,0.14433765,-0.030639239,-9.778456
28078811,28078086,0.14586997,0.19193083,-9.804447
28130187,28129499,0.18483962,-0.33575627,-9.667138
28181635,28180912,0.17230761,0.0574569,-9.704075
28229046,28228375,0.15927552,0.14672506,-9.707585
28280452,28279784,0.053241074,-0.30418104,-9.786451
28331872,28331197,0.21334533,0.100814365,-9.809781
28379403,28378656,0.21177815,0.032944575,-9.848642
28426809,28426114,0.01855641,-0.20084815,-9.735458
