timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
47718760,47717980,2490386,2490386,-7.1345503e-06,1.377144e-05,1.651801e-05,0.0006740596,-0.00012232854,-0.03871409,3955,3955,0,1,1
48216999,48216295,2490386,2490386,1.4861982e-05,5.0867115e-05,7.8881494e-05,0.0010340688,-0.000103931634,-0.0386265,3955,3955,0,1,1
48719268,48718565,2490386,2490386,1.9800713e-07,2.4435607e-05,7.4955446e-05,0.0012251363,0.0008138208,-0.03865573,3955,3955,0,1,1
49217581,49216880,2490386,2490386,-2.7026741e-05,5.8747373e-06,3.4768895e-05,0.00066119235,-0.00020804653,-0.03836011,3955,3955,0,1,1
49719883,49719150,2490386,2490386,-8.809641e-06,1.191735e-05,-7.879615e-08,0.0002355287,-7.485863e-05,-0.038704447,3955,3955,0,1,1
50214244,50213511,2490386,2490386,-6.2815843e-06,1.6441216e-05,8.703914e-06,0.00039169894,-0.00028844728,-0.038583666,3955,3955,0,1,1
50716549,50715781,2490386,2490386,-8.904044e-06,1.3459343e-05,1.469029e-05,0.00049914303,-0.00018098054,-0.038636185,3955,3955,0,1,1
51218758,51218051,2490386,2490386,-9.061318e-06,1.2212866e-05,2.1996759e-05,0.0005673148,0.000116653886,-0.038584664,3954,3954,0,1,1
51717139,51716367,2490386,2490386,-9.503512e-06,1.4375128e-05,1.279196e-05,0.00047032794,-0.00024103234,-0.038550816,3955,3955,0,1,1
52219360,52218638,2490386,2490386,-0.0018098847,9.43944e-05,0.0014723382,-0.0009373603,0.00074191357,-0.039731886,3955,3955,0,1,1
52717717,52716953,2490386,2490386,-0.002408594,-0.00055440905,0.00035582608,0.002016588,0.016543034,-0.0337274,3955,3955,0,1,1
53219925,53219222,2490386,2490386,-0.0021397774,-0.00027288718,0.00032065826,0.0011247677,0.026917838,-0.029844988,3954,3954,0,1,1
53714379,53713581,2490386,2490386,-0.0010538712,0.001194721,0.00045920457,-0.0019230922,0.03288411,-0.010828624,3955,3955,0,1,1
54216558,54215850,2490386,2490386,-0.0035226247,0.0021240644,-0.00091510656,0.0020698162,0.03288669,-0.017634407,3955,3955,0,1,1
54718831,54718119,2490386,2490386,-0.0013989523,0.0009814053,-0.00055309775,0.0016536814,0.0356571,-0.014489885,3955,3955,0,1,1
55217205,55216433,2490386,2490386,-5.7136378e-05,-0.00023870876,0.0001667026,0.0015022204,0.036830045,-0.0116526075,3955,3955,0,1,1
55719405,55718702,2490386,2490386,6.885714e-05,9.39708e-05,-1.433153e-05,0.0016862273,0.037722602,-0.010969045,3954,3954,0,1,1
56217723,56217017,2490386,2490386,3.0301564e-05,-7.5506185e-05,4.567072e-05,0.0017443801,0.037453674,-0.010726694,3955,3955,0,1,1
56720015,56719286,2490386,2490386,2.5088664e-05,-0.00018236594,0.0004128065,0.0027777788,0.037498325,-0.009889425,3955,3955,0,1,1
57214383,57213646,2490386,2490386,-9.091468e-05,-8.424226e-05,-8.416211e-05,0.001457388,0.037967503,-0.009737977,3955,3955,0,1,1
57716624,57715918,2490386,2490386,-0.00035313028,0.00022583938,-0.00031223716,0.0012870241,0.038039,-0.008608927,3957,3957,0,1,1
58218896,58218185,2490386,2490386,0.00019207026,-8.769429e-06,7.401519e-06,0.0010845386,0.03828531,-0.008230157,3955,3955,0,1,1
58717212,58716499,2490386,2490386,-0.00013548518,0.00021338595,-0.00020221376,0.00058453664,0.038359303,-0.008307709,3954,3954,0,1,1
59219473,59218769,2490386,2490386,-3.6132842e-05,5.309068e-05,-7.9743666e-05,0.0010028811,0.037892587,-0.009045106,3955,3955,0,1,1
59717791,59717083,2490386,2490386,0.00010300005,-0.00013728722,6.414923e-05,-0.00019047089,0.038684525,-0.0066729896,3955,3955,0,1,1
60220118,60219352,2490386,2490386,6.49381e-05,-0.00012829906,9.771087e-05,-0.00047097824,0.037341133,-0.0075651035,3955,3955,0,1,1
60714434,60713718,2490386,2490386,0.00017376189,-0.0001908613,7.272738e-05,-0.0017713326,0.037655078,-0.008816964,3961,3961,0,1,1
61216748,61215984,2490386,2490386,-5.8387446e-05,-0.00013611413,-7.770092e-05,-0.000100019395,0.038336013,-0.007825434,3958,3958,0,1,1
