timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
176103836,176102374,1.4541073e-08,3.3814595e-06,6.573577e-05,0.0004184212,0.0001769598,4.9363753e-05,67109915,0,0.5801553,0.082717,0.19781627,0.0032383574,nan,0.0012447464,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
176306034,176304078,1.4872721e-08,3.3827716e-06,6.5782646e-05,0.00032584614,0.00036540258,0.0001317972,67109915,0,0.58015954,0.0723005,0.15249453,0.0019120289,nan,0.0011328134,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
176495752,176493915,1.4766097e-08,3.3726706e-06,6.687495e-05,0.000105290135,0.00013529154,7.951689e-05,67109915,0,0.5801676,0.08167022,0.16528943,0.00059194874,nan,0.0011328134,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
176705438,176703529,1.5343051e-08,3.5401351e-06,6.700947e-05,0.00033614997,0.00012659254,8.313403e-05,67109915,0,0.5801731,0.071836755,0.1517006,0.0045168586,nan,0.00078212493,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
176907131,176905232,1.4850175e-08,3.519802e-06,6.802162e-05,0.00026420635,0.00028412178,0.000120751545,67109915,0,0.58018184,0.08167021,0.12686573,0.0019345249,nan,0.00078212493,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
177104876,177102980,1.4471826e-08,3.395011e-06,6.730936e-05,0.00016985502,0.00026181558,0.000114485716,67109915,0,0.5801874,0.071376026,0.09810118,0.003229474,nan,3.6643512e-05,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
177305997,177304684,1.4584871e-08,3.4321747e-06,6.8332396e-05,0.0004012537,0.00017023429,0.0001299373,67109915,0,0.5801962,0.08115108,0.18844636,0.0025660093,nan,3.6643512e-05,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
177504425,177502434,1.4830388e-08,3.489673e-06,6.859048e-05,0.00036430423,0.00038835438,0.00028901148,67109915,0,0.58020216,0.07091829,0.16283502,0.0019817487,nan,0.0010752615,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
177705554,177704135,1.4882136e-08,3.4303941e-06,6.735757e-05,0.00028441925,0.00032393748,0.0002266509,67109915,0,0.58021116,0.080634765,0.1398589,0.0033036433,nan,0.0010752615,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
177895249,177893974,1.4528549e-08,3.348785e-06,6.64815e-05,0.00025470657,0.00036489833,0.00050966063,67109915,0,0.5802162,0.07001187,0.25281197,0.0022213124,nan,0.0021964821,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
178104935,178103587,1.41987835e-08,3.3606152e-06,6.538549e-05,0.0001223463,0.00015549008,0.00024376462,67109915,0,0.58022404,0.08012131,0.06881427,0.0015986764,nan,0.0021964821,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
178306589,178305291,1.4568271e-08,3.5214412e-06,6.552602e-05,5.867822e-05,0.00029092547,0.000601646,67109915,0,0.58023,0.07001187,0.034569126,0.0010258408,nan,0.0029771996,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
